beta_ising,temperature_inverse_beta,beta_dir,dataset_label,edge_alignment,domain_wall_fraction,n_edges,source_dataset_path
0.11,9.090909,beta_0p11,dataset_089,0.1712552497,0.4143723752,2143,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p11/dataset_089
0.13,7.692308,beta_0p13,dataset_000,0.2722170253,0.3638914874,2138,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_000
0.13,7.692308,beta_0p13,dataset_001,0.3287671233,0.3356164384,2190,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_001
0.13,7.692308,beta_0p13,dataset_002,0.2617946346,0.3691026827,2162,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_002
0.13,7.692308,beta_0p13,dataset_003,0.2929292929,0.3535353535,2178,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_003
0.13,7.692308,beta_0p13,dataset_004,0.3834862385,0.3082568807,2180,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_004
0.13,7.692308,beta_0p13,dataset_005,0.2510213345,0.3744893327,2203,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_005
0.13,7.692308,beta_0p13,dataset_006,0.2742459397,0.3628770302,2155,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_006
0.13,7.692308,beta_0p13,dataset_007,0.3146473779,0.3426763110,2212,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_007
0.13,7.692308,beta_0p13,dataset_008,0.2586445367,0.3706777317,2169,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_008
0.13,7.692308,beta_0p13,dataset_009,0.2640371230,0.3679814385,2155,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_009
0.13,7.692308,beta_0p13,dataset_010,0.3778186838,0.3110906581,2173,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_010
0.13,7.692308,beta_0p13,dataset_011,0.3066169618,0.3466915191,2146,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_011
0.13,7.692308,beta_0p13,dataset_012,0.2429949472,0.3785025264,2177,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_012
0.13,7.692308,beta_0p13,dataset_013,0.3038374718,0.3480812641,2215,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_013
0.13,7.692308,beta_0p13,dataset_014,0.2897806813,0.3551096594,2143,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_014
0.13,7.692308,beta_0p13,dataset_015,0.3360730594,0.3319634703,2190,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_015
0.13,7.692308,beta_0p13,dataset_016,0.2631578947,0.3684210526,2147,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_016
0.13,7.692308,beta_0p13,dataset_017,0.3499079190,0.3250460405,2172,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_017
0.13,7.692308,beta_0p13,dataset_018,0.2718808194,0.3640595903,2148,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_018
0.13,7.692308,beta_0p13,dataset_019,0.2599637681,0.3700181159,2208,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_019
0.13,7.692308,beta_0p13,dataset_020,0.2779291553,0.3610354223,2202,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_020
0.13,7.692308,beta_0p13,dataset_021,0.3041860465,0.3479069767,2150,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_021
0.13,7.692308,beta_0p13,dataset_022,0.2814915871,0.3592542065,2199,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_022
0.13,7.692308,beta_0p13,dataset_023,0.2099343955,0.3950328022,2134,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_023
0.13,7.692308,beta_0p13,dataset_024,0.2005494505,0.3997252747,2184,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_024
0.13,7.692308,beta_0p13,dataset_025,0.3200185787,0.3399907106,2153,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_025
0.13,7.692308,beta_0p13,dataset_026,0.2781885397,0.3609057301,2164,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_026
0.13,7.692308,beta_0p13,dataset_027,0.2137993645,0.3931003177,2203,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_027
0.13,7.692308,beta_0p13,dataset_028,0.3490740741,0.3254629630,2160,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_028
0.13,7.692308,beta_0p13,dataset_029,0.3154981550,0.3422509225,2168,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_029
0.13,7.692308,beta_0p13,dataset_030,0.2834718375,0.3582640813,2166,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_030
0.13,7.692308,beta_0p13,dataset_031,0.3225208526,0.3387395737,2158,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_031
0.13,7.692308,beta_0p13,dataset_032,0.2732394366,0.3633802817,2130,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_032
0.13,7.692308,beta_0p13,dataset_033,0.2651550208,0.3674224896,2161,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_033
0.13,7.692308,beta_0p13,dataset_034,0.2431933549,0.3784033226,2167,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_034
0.13,7.692308,beta_0p13,dataset_035,0.2779850746,0.3610074627,2144,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_035
0.13,7.692308,beta_0p13,dataset_036,0.2164009112,0.3917995444,2195,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_036
0.13,7.692308,beta_0p13,dataset_037,0.2434901782,0.3782549109,2189,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_037
0.13,7.692308,beta_0p13,dataset_038,0.2965641953,0.3517179024,2212,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_038
0.13,7.692308,beta_0p13,dataset_039,0.2656826568,0.3671586716,2168,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_039
0.13,7.692308,beta_0p13,dataset_040,0.3394919169,0.3302540416,2165,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_040
0.13,7.692308,beta_0p13,dataset_041,0.3421292084,0.3289353958,2198,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_041
0.13,7.692308,beta_0p13,dataset_042,0.3836246550,0.3081876725,2174,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_042
0.13,7.692308,beta_0p13,dataset_043,0.2539242844,0.3730378578,2166,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_043
0.13,7.692308,beta_0p13,dataset_044,0.2937354988,0.3531322506,2155,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_044
0.13,7.692308,beta_0p13,dataset_045,0.2163038444,0.3918480778,2159,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_045
0.13,7.692308,beta_0p13,dataset_046,0.2739916551,0.3630041725,2157,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_046
0.13,7.692308,beta_0p13,dataset_047,0.3090909091,0.3454545455,2145,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_047
0.13,7.692308,beta_0p13,dataset_048,0.2075298439,0.3962350781,2178,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_048
0.13,7.692308,beta_0p13,dataset_049,0.2464170134,0.3767914933,2163,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_049
0.13,7.692308,beta_0p13,dataset_050,0.3551057958,0.3224471021,2174,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_050
0.13,7.692308,beta_0p13,dataset_051,0.2655315232,0.3672342384,2173,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_051
0.13,7.692308,beta_0p13,dataset_052,0.2536900369,0.3731549815,2168,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_052
0.13,7.692308,beta_0p13,dataset_053,0.2835266821,0.3582366589,2155,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_053
0.13,7.692308,beta_0p13,dataset_054,0.2810637322,0.3594681339,2181,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_054
0.13,7.692308,beta_0p13,dataset_055,0.3509749304,0.3245125348,2154,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_055
0.13,7.692308,beta_0p13,dataset_056,0.2304147465,0.3847926267,2170,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_056
0.13,7.692308,beta_0p13,dataset_057,0.3120074177,0.3439962911,2157,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_057
0.13,7.692308,beta_0p13,dataset_058,0.3563218391,0.3218390805,2175,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_058
0.13,7.692308,beta_0p13,dataset_059,0.2952029520,0.3523985240,2168,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_059
0.13,7.692308,beta_0p13,dataset_060,0.2597343106,0.3701328447,2183,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_060
0.13,7.692308,beta_0p13,dataset_061,0.3218122373,0.3390938814,2141,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_061
0.13,7.692308,beta_0p13,dataset_062,0.3520871143,0.3239564428,2204,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_062
0.13,7.692308,beta_0p13,dataset_063,0.2110435190,0.3944782405,2137,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_063
0.13,7.692308,beta_0p13,dataset_064,0.3110492108,0.3444753946,2154,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_064
0.13,7.692308,beta_0p13,dataset_065,0.4319138980,0.2840430510,2137,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_065
0.13,7.692308,beta_0p13,dataset_066,0.3814338235,0.3092830882,2176,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_066
0.13,7.692308,beta_0p13,dataset_067,0.3587006961,0.3206496520,2155,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_067
0.13,7.692308,beta_0p13,dataset_068,0.2739852399,0.3630073801,2168,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_068
0.13,7.692308,beta_0p13,dataset_069,0.3422140560,0.3288929720,2177,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_069
0.13,7.692308,beta_0p13,dataset_070,0.3091247672,0.3454376164,2148,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_070
0.13,7.692308,beta_0p13,dataset_071,0.2991765782,0.3504117109,2186,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_071
0.13,7.692308,beta_0p13,dataset_072,0.2645161290,0.3677419355,2170,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_072
0.13,7.692308,beta_0p13,dataset_073,0.2929848693,0.3535075653,2181,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_073
0.13,7.692308,beta_0p13,dataset_074,0.3018147087,0.3490926457,2094,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_074
0.13,7.692308,beta_0p13,dataset_075,0.2992565056,0.3503717472,2152,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_075
0.13,7.692308,beta_0p13,dataset_076,0.2411214953,0.3794392523,2140,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_076
0.13,7.692308,beta_0p13,dataset_077,0.2582781457,0.3708609272,2114,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_077
0.13,7.692308,beta_0p13,dataset_078,0.2530120482,0.3734939759,2158,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_078
0.13,7.692308,beta_0p13,dataset_079,0.3081936685,0.3459031657,2148,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_079
0.13,7.692308,beta_0p13,dataset_080,0.2814814815,0.3592592593,2160,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_080
0.13,7.692308,beta_0p13,dataset_081,0.2899082569,0.3550458716,2180,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_081
0.13,7.692308,beta_0p13,dataset_082,0.2972222222,0.3513888889,2160,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_082
0.13,7.692308,beta_0p13,dataset_083,0.2748267898,0.3625866051,2165,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_083
0.13,7.692308,beta_0p13,dataset_084,0.2916666667,0.3541666667,2208,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_084
0.13,7.692308,beta_0p13,dataset_085,0.3113994439,0.3443002780,2158,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_085
0.13,7.692308,beta_0p13,dataset_086,0.2626685263,0.3686657369,2151,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_086
0.13,7.692308,beta_0p13,dataset_087,0.2220216606,0.3889891697,2216,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_087
0.13,7.692308,beta_0p13,dataset_088,0.2670692058,0.3664653971,2153,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_088
0.13,7.692308,beta_0p13,dataset_089,0.2871559633,0.3564220183,2180,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p13/dataset_089
0.15,6.666667,beta_0p15,dataset_000,0.4326568266,0.2836715867,2168,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_000
0.15,6.666667,beta_0p15,dataset_001,0.4010059442,0.2994970279,2187,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_001
0.15,6.666667,beta_0p15,dataset_002,0.4271264368,0.2864367816,2175,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_002
0.15,6.666667,beta_0p15,dataset_003,0.4512867647,0.2743566176,2176,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_003
0.15,6.666667,beta_0p15,dataset_004,0.3567792689,0.3216103656,2161,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_004
0.15,6.666667,beta_0p15,dataset_005,0.3187613843,0.3406193078,2196,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_005
0.15,6.666667,beta_0p15,dataset_006,0.4115438761,0.2942280619,2131,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_006
0.15,6.666667,beta_0p15,dataset_007,0.4917127072,0.2541436464,2172,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_007
0.15,6.666667,beta_0p15,dataset_008,0.3546566322,0.3226716839,2126,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_008
0.15,6.666667,beta_0p15,dataset_009,0.4029012635,0.2985493683,2137,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_009
0.15,6.666667,beta_0p15,dataset_010,0.4413665743,0.2793167128,2166,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_010
0.15,6.666667,beta_0p15,dataset_011,0.3896583564,0.3051708218,2166,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_011
0.15,6.666667,beta_0p15,dataset_012,0.4232902033,0.2883548983,2164,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_012
0.15,6.666667,beta_0p15,dataset_013,0.3864689527,0.3067655236,2158,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_013
0.15,6.666667,beta_0p15,dataset_014,0.3974659784,0.3012670108,2131,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_014
0.15,6.666667,beta_0p15,dataset_015,0.3588208199,0.3205895901,2171,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_015
0.15,6.666667,beta_0p15,dataset_016,0.5078088027,0.2460955987,2113,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_016
0.15,6.666667,beta_0p15,dataset_017,0.4028479559,0.2985760220,2177,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_017
0.15,6.666667,beta_0p15,dataset_018,0.4144102799,0.2927948600,2179,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_018
0.15,6.666667,beta_0p15,dataset_019,0.4354022989,0.2822988506,2175,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_019
0.15,6.666667,beta_0p15,dataset_020,0.3786679087,0.3106660456,2147,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_020
0.15,6.666667,beta_0p15,dataset_021,0.3953917051,0.3023041475,2170,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_021
0.15,6.666667,beta_0p15,dataset_022,0.4683310217,0.2658344891,2163,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_022
0.15,6.666667,beta_0p15,dataset_023,0.3370473538,0.3314763231,2154,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_023
0.15,6.666667,beta_0p15,dataset_024,0.4423690205,0.2788154897,2195,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_024
0.15,6.666667,beta_0p15,dataset_025,0.4148837209,0.2925581395,2150,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_025
0.15,6.666667,beta_0p15,dataset_026,0.3859649123,0.3070175439,2166,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_026
0.15,6.666667,beta_0p15,dataset_027,0.3661710037,0.3169144981,2152,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_027
0.15,6.666667,beta_0p15,dataset_028,0.3112643678,0.3443678161,2175,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_028
0.15,6.666667,beta_0p15,dataset_029,0.3078714485,0.3460642757,2147,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_029
0.15,6.666667,beta_0p15,dataset_030,0.3238532110,0.3380733945,2180,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_030
0.15,6.666667,beta_0p15,dataset_031,0.3635116598,0.3182441701,2187,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_031
0.15,6.666667,beta_0p15,dataset_032,0.4594594595,0.2702702703,2183,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_032
0.15,6.666667,beta_0p15,dataset_033,0.2549199085,0.3725400458,2185,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_033
0.15,6.666667,beta_0p15,dataset_034,0.3468261270,0.3265869365,2174,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_034
0.15,6.666667,beta_0p15,dataset_035,0.4288346384,0.2855826808,2171,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_035
0.15,6.666667,beta_0p15,dataset_036,0.3467153285,0.3266423358,2192,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_036
0.15,6.666667,beta_0p15,dataset_037,0.4542910448,0.2728544776,2144,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_037
0.15,6.666667,beta_0p15,dataset_038,0.4592592593,0.2703703704,2160,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_038
0.15,6.666667,beta_0p15,dataset_039,0.3589981447,0.3205009276,2156,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_039
0.15,6.666667,beta_0p15,dataset_040,0.4328081557,0.2835959222,2158,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_040
0.15,6.666667,beta_0p15,dataset_041,0.3930715935,0.3034642032,2165,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_041
0.15,6.666667,beta_0p15,dataset_042,0.3932996788,0.3033501606,2179,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_042
0.15,6.666667,beta_0p15,dataset_043,0.3601496726,0.3199251637,2138,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_043
0.15,6.666667,beta_0p15,dataset_044,0.3566108007,0.3216945996,2148,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_044
0.15,6.666667,beta_0p15,dataset_045,0.4203168686,0.2898415657,2146,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_045
0.15,6.666667,beta_0p15,dataset_046,0.4222639737,0.2888680132,2129,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_046
0.15,6.666667,beta_0p15,dataset_047,0.4834498834,0.2582750583,2145,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_047
0.15,6.666667,beta_0p15,dataset_048,0.4048282266,0.2975858867,2154,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_048
0.15,6.666667,beta_0p15,dataset_049,0.3455917020,0.3272041490,2121,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_049
0.15,6.666667,beta_0p15,dataset_050,0.3700500683,0.3149749659,2197,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_050
0.15,6.666667,beta_0p15,dataset_051,0.4849589790,0.2575205105,2194,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_051
0.15,6.666667,beta_0p15,dataset_052,0.3578066914,0.3210966543,2152,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_052
0.15,6.666667,beta_0p15,dataset_053,0.4033805391,0.2983097305,2189,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_053
0.15,6.666667,beta_0p15,dataset_054,0.3954354914,0.3022822543,2147,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_054
0.15,6.666667,beta_0p15,dataset_055,0.4157821874,0.2921089063,2167,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_055
0.15,6.666667,beta_0p15,dataset_056,0.3348708487,0.3325645756,2168,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_056
0.15,6.666667,beta_0p15,dataset_057,0.4440804867,0.2779597567,2137,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_057
0.15,6.666667,beta_0p15,dataset_058,0.2968536252,0.3515731874,2193,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_058
0.15,6.666667,beta_0p15,dataset_059,0.3806451613,0.3096774194,2170,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_059
0.15,6.666667,beta_0p15,dataset_060,0.3710050950,0.3144974525,2159,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_060
0.15,6.666667,beta_0p15,dataset_061,0.4201800095,0.2899099953,2111,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_061
0.15,6.666667,beta_0p15,dataset_062,0.3750000000,0.3125000000,2160,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_062
0.15,6.666667,beta_0p15,dataset_063,0.4041159963,0.2979420019,2138,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_063
0.15,6.666667,beta_0p15,dataset_064,0.4711359404,0.2644320298,2148,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_064
0.15,6.666667,beta_0p15,dataset_065,0.4269819193,0.2865090403,2157,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_065
0.15,6.666667,beta_0p15,dataset_066,0.3927088140,0.3036455930,2167,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_066
0.15,6.666667,beta_0p15,dataset_067,0.4083484574,0.2958257713,2204,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_067
0.15,6.666667,beta_0p15,dataset_068,0.5022583559,0.2488708220,2214,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_068
0.15,6.666667,beta_0p15,dataset_069,0.4628942486,0.2685528757,2156,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_069
0.15,6.666667,beta_0p15,dataset_070,0.3283790060,0.3358104970,2153,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_070
0.15,6.666667,beta_0p15,dataset_071,0.4061779622,0.2969110189,2169,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_071
0.15,6.666667,beta_0p15,dataset_072,0.3923112552,0.3038443724,2159,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_072
0.15,6.666667,beta_0p15,dataset_073,0.4591137506,0.2704431247,2189,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_073
0.15,6.666667,beta_0p15,dataset_074,0.3147113594,0.3426443203,2148,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_074
0.15,6.666667,beta_0p15,dataset_075,0.4403292181,0.2798353909,2187,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_075
0.15,6.666667,beta_0p15,dataset_076,0.4576427256,0.2711786372,2172,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_076
0.15,6.666667,beta_0p15,dataset_077,0.4268574066,0.2865712967,2167,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_077
0.15,6.666667,beta_0p15,dataset_078,0.2941176471,0.3529411765,2159,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_078
0.15,6.666667,beta_0p15,dataset_079,0.4548009368,0.2725995316,2135,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_079
0.15,6.666667,beta_0p15,dataset_080,0.3425669437,0.3287165282,2166,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_080
0.15,6.666667,beta_0p15,dataset_081,0.3302667893,0.3348666053,2174,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_081
0.15,6.666667,beta_0p15,dataset_082,0.3399246704,0.3300376648,2124,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_082
0.15,6.666667,beta_0p15,dataset_083,0.3882461823,0.3058769088,2161,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_083
0.15,6.666667,beta_0p15,dataset_084,0.4440894569,0.2779552716,2191,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_084
0.15,6.666667,beta_0p15,dataset_085,0.3683720930,0.3158139535,2150,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_085
0.15,6.666667,beta_0p15,dataset_086,0.4590547496,0.2704726252,2137,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_086
0.15,6.666667,beta_0p15,dataset_087,0.4861111111,0.2569444444,2160,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_087
0.15,6.666667,beta_0p15,dataset_088,0.4867094409,0.2566452796,2182,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_088
0.15,6.666667,beta_0p15,dataset_089,0.4604051565,0.2697974217,2172,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p15/dataset_089
0.17,5.882353,beta_0p17,dataset_000,0.6391382406,0.1804308797,2228,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p17/dataset_000
0.17,5.882353,beta_0p17,dataset_001,0.6118848654,0.1940575673,2154,02_dnn_synthetic/01_dataset/raw_outputs/beta_0p17/dataset_001
