cell_id,series,dataset_id,seed,beta_ising,rewire_p,dataset_raw_path,dataset_meta_path,canonical_dataset
cell_beta_0p05_p_0p00,random_gaussian_baseline,77,613701234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_078/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_078/dataset_meta.json,dataset_078
cell_beta_0p05_p_0p00,random_gaussian_baseline,78,613801234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_079/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_079/dataset_meta.json,dataset_079
cell_beta_0p05_p_0p00,random_gaussian_baseline,79,613901234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_080/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_080/dataset_meta.json,dataset_080
cell_beta_0p05_p_0p00,random_gaussian_baseline,80,614001234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_081/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_081/dataset_meta.json,dataset_081
cell_beta_0p05_p_0p00,random_gaussian_baseline,81,614101234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_082/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_082/dataset_meta.json,dataset_082
cell_beta_0p05_p_0p00,random_gaussian_baseline,82,614201234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_083/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_083/dataset_meta.json,dataset_083
cell_beta_0p05_p_0p00,random_gaussian_baseline,83,614301234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_084/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_084/dataset_meta.json,dataset_084
cell_beta_0p05_p_0p00,random_gaussian_baseline,84,614401234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_085/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_085/dataset_meta.json,dataset_085
cell_beta_0p05_p_0p00,random_gaussian_baseline,85,614501234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_086/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_086/dataset_meta.json,dataset_086
cell_beta_0p05_p_0p00,random_gaussian_baseline,86,614601234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_087/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_087/dataset_meta.json,dataset_087
cell_beta_0p05_p_0p00,random_gaussian_baseline,87,614701234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_088/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_088/dataset_meta.json,dataset_088
cell_beta_0p05_p_0p00,random_gaussian_baseline,88,614801234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_089/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_089/dataset_meta.json,dataset_089
cell_beta_0p05_p_0p00,random_gaussian_baseline,89,614901234,0.05,0.0,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_090/dataset.npz,02_dnn_synthetic/06_random_baseline/01_dataset/raw_outputs/gaussian_random_90_dataset/raw_datasets/dataset_090/dataset_meta.json,dataset_090
